Sample,Observed_OTUs,Shannon_Index,Simpson_Index,Inverse_Simpson_Index,Pielou_Evenness
s2312-1-nt230808-bmud-6,60,2.4554776597339076,0.8688649844142374,1.1509268044380565,0.5997242348360784
s2312-2-nt230808-wout-1,60,2.271859029513525,0.8311743611016426,1.2031169954215084,0.5548773423897015
s2312-2-nt230808-wout-2,52,1.8952355557978242,0.7257882338198476,1.3778123609650803,0.47965544288881534
s2312-2-nt230808-wout-3,43,1.3628755116284534,0.5421898047701439,1.8443725632648889,0.36235123622959375
s2312-2-nt230808-wout-4,39,1.4359842594121426,0.5808059710157873,1.7217453846954651,0.3919639951818968
s2312-2-nt230808-wout-5,33,0.910510495,0.35980943239612306,2.779248985610459,0.26040569880425174
s2312-2-nt230808-wout-6,55,2.1549555618271086,0.8136034793003987,1.2290999552507813,0.5377530298125427
s2213_tyo_bmud_slee_1,50,2.383428727654947,0.8477352765524635,1.179613527546902,0.6092573393223427
s2213_tyo_bmud_slee_2,44,2.1375925734829457,0.830014926,1.2047976104867744,0.5648745914642812
s2213_tyo_bmud_slee_3,32,2.085674382643008,0.8347306650908122,1.1979912106034918,0.6017984177496436
s2213_tyo_bmud_slee_4,35,1.3865149813680642,0.5297118572166803,1.8878187950226433,0.38998009685364604
s2213_tyo_bmud_slee_5,47,1.6391496681065718,0.6114742780968817,1.6353917667842774,0.42573683860289846
s2213_tyo_bmud_slee_6,24,1.661482215743332,0.7519302712129107,1.3299105492680023,0.5227986385496266
s2213_tyo_wout_slee_1,53,2.219126004180831,0.8463591544356248,1.1815314984887557,0.5589327063347929
s2213_tyo_wout_slee_2,48,2.144360516995832,0.8130140014001765,1.229991117345821,0.5539264199801723
s2213_tyo_wout_slee_3,53,2.4214256543352985,0.875257101,1.1425214366523269,0.6098860504614405
s2213_tyo_wout_slee_4,56,2.376112417507021,0.8683695226385928,1.1515834836780545,0.590286912
s2213_tyo_wout_slee_5,50,2.176422934565017,0.8435078392278977,1.1855254373395592,0.5563420592223285
s2213_tyo_wout_slee_6,49,2.3159949369252883,0.8650510660946074,1.156001118540479,0.5950929795113206
